"","Ticker","Debt","Rev_Growth"
"216","HBI",3863.58,4.36
"217","HCA",32916,7.66
"218","HCP",6798.25,-5.65
"219","HD",23332,6.42
"220","HES",6609,22.06
"221","HFC",2409.15,31.4
"222","HIG",4263,13.97
"223","HII",1282,8.23
"224","HLT",7559,12.88
"225","HOG",4196.52,4.9
"226","HOLX",2760.2,5.2
"227","HON",14059,8.17
"228","HP",493.97,37.82
"229","HPE",10136,6.86
"230","HPQ",4524,12.33
"231","HRB",1491.33,3.82
"232","HRL",624.84,4.13
"233","HRS",3410,7.15
"234","HSIC",1000.32,7.18
"235","HST",4079,2.72
"236","HSY",3253.88,2.61
"237","HUM",4774,3.5
"238","IBM",35989,2.56
"239","ICE",6488,2.5
"240","IDXX",602.42,13.85
"241","IFF",4331.24,9.27
"242","ILMN",860,25
"243","INCY",17.22,26.72
"244","INFO",4889.2,11.38
"245","INTC",24823,11.54
"246","INTU",375,14.79
"247","IP",10700,7.72
"248","IPG",3261.4,5.47
"249","IPGP",42.63,12.27
"250","IQV",10518,8.21
"251","IR",3739.8,10.42
"252","IRM",8109.18,9.69
"253","ISRG",0,18.88
"254","IT",2077.47,30.03
"255","ITW",6054,5.2
"256","IVZ",7635.1,9.13
"257","JBHT",898.4,19.82
"258","JCI",9654,4.07
"259","JEC",2146.88,49.24
"260","JEF",7777.42,8.61
"261","JKHY",0,8.42
"262","JNJ",29480,9.44
"263","JNPR",1788.6,-9.03
"264","JPM",282031,15.24
"265","JWN",2678,6.54
"266","K",8715,5.3
"267","KEY",13732,8.11
"268","KEYS",1294,21.61
"269","KHC",30998,0.56
"270","KIM",4887.47,-1.12
"271","KLAC",2237.89,12.48
"272","KMB",5739,1.15
"273","KMI",33936,3.2
"274","KMX",13494.18,5.37
"275","KO",25523,-13.39
"276","KR",11647,4.08
"277","KSS",3800,4.94
"278","KSU",2680.7,5.08
"279","L",11311,5.58
"280","LB",5814,7.4
"281","LEG",1353.2,8.91
"282","LEN",9553,62.67
"283","LH",6044.6,13.52
"284","LIN",6615,8.17
"285","LKQ",4250.14,20.45
"286","LLL",3358,0.59
"287","LLY",11674.7,8.04
"288","LMT",13486,9.26
"289","LNC",5804,12.85
"290","LNT",5248.2,5.84
"291","LOW",14460,3.26
"292","LRCX",1805.09,23.37
"293","LUV",3100,2.73
"294","LW",2321.8,11.25
"295","LYB",7471,18.63
"296","M",5469,1.8
"297","MA",5858,21.05
"298","MAA",4504.02,6.99
"299","MAC",5257.41,-3.2
"300","MAR",8710,3.01
"301","MAS",2971,8.53
"302","MAT",2849.92,-10.13
"303","MCD",31895.2,-9.81
"304","MCHP",9551.1,24.73
"305","MCK",6568,4.44
"306","MCO",4484,14.25
"307","MDLZ",14852,1.68
"308","MDT",23673,2.49
"309","MET",17627,15.38
"310","MGM",14663.97,6.07
"311","MHK",1528.55,6.44
"312","MKC",4269.8,18.17
"313","MLM",2829.66,6.35
"314","MMC",5512,8.56
"315","MMM",13539,5.85
"316","MNST",0,11.51
"317","MO",11896,0.22
"318","MOS",4523.1,27.57
"319","MPC",18423,20.68
"320","MRK",19936,4.84
"321","MRO",5498,33.07
"322","MS",163423,15.01
"323","MSCI",2574.62,14.19
"324","MSFT",79856,15.85
"325","MSI",5095,11.73
"326","MTB",8444.91,7.24
"327","MTD",988.89,9
"328","MU",3734,36.04
"329","MXIM",991.51,10.09
"330","MYL",13291.4,-2.87
"331","NBL",6571,16.81
"332","NCLH",5875.25,12.36
"333","NDAQ",3072,6.74
"334","NEE",27048,-3.09
"335","NEM",4170,-1.29
"336","NFLX",10360.06,35.08
"337","NFX",2436,48.18
"338","NI",7094.5,4.53
"339","NKE",3466,9.68
"340","NKTR",331.92,400.19
"341","NLSN",8304,2.33
"342","NOC",13889,10.54
"343","NOV",2706,14.19
"344","NRG",6658,9.14
"345","NSC",10915,8.28
"346","NTAP",1144,9.5
"347","NTRS",3370.3,18.16
"348","NUE",4232.76,24.83
"349","NVDA",1987,38.39
"350","NWL",9296.8,-10.41
"351","NWSA",1186,15.28
"352","O",6785.22,8.63
"353","OKE",8325.71,20.05
"354","OMC",4357.8,0.27
"355","ORCL",51561,2.54
"356","ORLY",3174.33,5.92
"357","OXY",10198,40.24
"358","PAYX",0,8.43
"359","PBCT",3311.3,16.32
"360","PCAR",9586.9,25.44
"361","PEG",12909,1.95
"362","PEP",30643,1.81
"363","PFE",33652,1.72
"364","PFG",3245.5,-4.63
"365","PG",20779,2.57
"366","PGR",3859.9,20.2
"367","PH",4313.22,13.96
"368","PHM",3005.42,20.62
"369","PKG",2500.8,11.47
"370","PKI",1882.5,22.05
"371","PLD",11232.13,0.96
"372","PM",28179,10.92
"373","PNC",30913,10.86
"374","PNR",798.8,5.21
"375","PNW",4487.36,4.22
"376","PPG",4365,4.24
"377","PPL",19924,5.7
"378","PRGO",3071,-3.5
"379","PRU",18351,7.61
"380","PSA",1417.94,4.82
"381","PSX",11021,30.7
"382","PVH",2878.3,13.47
"383","PWR",952.89,15.92
"384","PXD",2286,88.21
"385","PYPL",0,21.08
"386","QCOM",15365,-4.73
"387","QRVO",735.1,5.34
"388","RCL",7646.99,5.56
"389","RE",633.56,16.54
"390","REG",3717.21,23.48
"391","REGN",707.2,15.39
"392","RF",12424,7.06
"393","RHI",0.51,9.24
"394","RHT",324.15,17.23
"395","RJF",2443.47,14.57
"396","RL",906.9,-0.61
"397","RMD",517.64,13.17
"398","ROK",1225.2,5.62
"399","ROL",0,8.92
"400","ROP",4414.3,14.8
"401","ROST",312.33,10.07
"402","RSG",7556.7,2.13
"403","RTN",4753,6.59
"404","SBAC",9710.14,7.28
"405","SBUX",9090.2,10.42
"406","SCHW",6900,22.65
"407","SEE",3242.5,8.42
"408","SHW",8710.83,26.57
"409","SIVB",696.22,34.82
"410","SJM",5885.1,3.78
"411","SLB",14644,7.8
"412","SLG",5584.21,-16.22
"413","SNA",944.8,4.6
"414","SNPS",125.54,14.54
"415","SO",41425,5.32
"416","SPG",23678.26,2.79
"417","SPGI",3661,7.41
"418","SRE",21335,2.85
"419","STI",15072,8.27
"420","STT",11093,10.46
"421","STX",4322,8.83
"422","STZ",11772.5,8.57
"423","SWK",2830.6,10.77
"424","SWKS",0,5.93
"425","SYF",17989,7.89
"426","SYK",5928,9.45
"427","SYMC",4442,3.92
"428","SYY",7914.34,5.78
"429","T",168513,2.37
"430","TAP",8970.3,1.99
"431","TDG",12501.95,8.76
"432","TEL",3037,14.8
"433","TFX",2075.83,16.31
"434","TGT",12150,6.71
"435","TIF",880,9.62
"436","TJX",2232.86,12.9
"437","TMK",1358.95,5.45
"438","TMO",17760,20.55
"439","TPR",1600.5,26.01
"440","TRIP",0,2.51
"441","TROW",0,15.42
"442","TRV",5964,4.98
"443","TSCO",577.2,7.07
"444","TSN",7962,4.68
"445","TSS",3874.81,-10.52
"446","TTWO",0,-5.13
"447","TWTR",1747.44,17.96
"448","TXN",4318,8.15
"449","TXT",3857,1.66
"450","UAA",703.46,4.94
"451","UAL",13349,9.31
"452","UDR",3811.18,1.63
"453","UHS",3683.92,4.09
"454","ULTA",0,18.13
"455","UNH",34581,12.47
"456","UNM",2983.5,2.79
"457","UNP",20943,7.48
"458","UPS",20101,9.76
"459","URI",9182,22.77
"460","USB",41340,8.55
"461","UTX",38275,9.05
"462","V",16630,12.26
"463","VAR",0,11.45
"464","VFC",2135.24,15.83
"465","VIAB",9515,-2.41
"466","VLO",8877,31.32
"467","VMC",2778.13,12.85
"468","VNO",9792.66,-2.42
"469","VRSK",2044.9,13
"470","VRSN",1784.42,4.08
"471","VRTX",576.53,23.23
"472","VTR",10478.46,2.95
"473","VZ",106440,4.92
"474","WAT",1148.06,6.29
"475","WBA",11646,11.74
"476","WCG",2125.4,15.5
"477","WDC",10930,4.78
"478","WEC",9119,1.34
"479","WELL",13504.06,5.61
"480","WFC",229044,4.22
"481","WHR",4768,-0.77
"482","WLTW",4498,2.15
"483","WM",9569,3.02
"484","WMB",21409,8.86
"485","WMT",49896,3.49
"486","WRK",5674.5,9.59
"487","WU",2397.2,3.09
"488","WY",5921,9.96
"489","WYNN",8695.33,16.7
"490","XEC",1488.15,26.72
"491","XEL",15508,0.43
"492","XLNX",1201.88,12.75
"493","XOM",20624,22.94
"494","XRAY",1574.8,3.04
"495","XRX",4815,-2.03
"496","XYL",2189,12.66
"497","YUM",9405,-7.76
"498","ZBH",8597.4,2.43
"499","ZION",879,10.32
"500","ZTS",6441,11.24
